"MUC_6891d0803fab:00000001-255-255:PV Erzeugung_Aktuelle erzeugte Leistung",W
Zeit,Wert,Orginalwert
"01.01.2024 00:00",0.000,
"01.01.2024 00:15",0.000,
"01.01.2024 00:30",0.000,
"01.01.2024 00:45",0.000,
"01.01.2024 01:00",0.000,
"01.01.2024 01:15",0.000,
"01.01.2024 01:30",0.000,
"01.01.2024 01:45",0.000,
"01.01.2024 02:00",0.000,
"01.01.2024 02:15",0.000,
"01.01.2024 02:30",0.000,
"01.01.2024 02:45",0.000,
"01.01.2024 03:00",0.000,
"01.01.2024 03:15",0.000,
"01.01.2024 03:30",0.000,
"01.01.2024 03:45",0.000,
"01.01.2024 04:00",0.000,
"01.01.2024 04:15",0.000,
"01.01.2024 04:30",0.000,
"01.01.2024 04:45",0.000,
"01.01.2024 05:00",0.000,
"01.01.2024 05:15",0.000,
"01.01.2024 05:30",0.000,
"01.01.2024 05:45",0.000,
"01.01.2024 06:00",0.000,
"01.01.2024 06:15",0.000,
"01.01.2024 06:30",0.000,
"01.01.2024 06:45",0.000,
"01.01.2024 07:00",0.000,
"01.01.2024 07:15",0.000,
"01.01.2024 07:30",0.000,
"01.01.2024 07:45",0.000,
"01.01.2024 08:00",0.000,
"01.01.2024 08:15",0.000,
"01.01.2024 08:30",0.000,
"01.01.2024 08:45",0.000,
"01.01.2024 09:00",0.000,
"01.01.2024 09:15",185.100,
"01.01.2024 09:30",435.016,
"01.01.2024 09:45",493.900,
"01.01.2024 10:00",785.902,
"01.01.2024 10:15",749.900,
"01.01.2024 10:30",1417.000,
"01.01.2024 10:45",1245.918,
"01.01.2024 11:00",1970.900,
"01.01.2024 11:15",1844.900,
"01.01.2024 11:30",1091.656,
"01.01.2024 11:45",1517.066,
"01.01.2024 12:00",2297.000,
"01.01.2024 12:15",4826.800,
"01.01.2024 12:30",3971.754,
"01.01.2024 12:45",1882.100,
"01.01.2024 13:00",2506.424,
"01.01.2024 13:15",2013.119,
"01.01.2024 13:30",1028.100,
"01.01.2024 13:45",1586.300,
"01.01.2024 14:00",1489.180,
"01.01.2024 14:15",4241.900,
"01.01.2024 14:30",2976.729,
"01.01.2024 14:45",1252.100,
"01.01.2024 15:00",347.902,
"01.01.2024 15:15",553.100,
"01.01.2024 15:30",121.400,
"01.01.2024 15:45",0.000,
"01.01.2024 16:00",0.000,
"01.01.2024 16:15",0.000,
